device_id,device_model,category,gold_g,copper_g,lithium_g,confidence,total_value_estimate,timestamp,region
DEV-000001,Fitbit Charge 5,wearable,0.0018,0.343,0.265,0.91,4.09,2026-04-09T13:06:58.938318,Bangalore
DEV-000002,MacBook Air M1,laptop,0.2773,61.024,67.777,0.91,1033.9,2026-04-09T13:06:58.938415,Chennai
DEV-000003,Samsung Galaxy Tab S7,tablet,0.0986,19.907,29.068,0.95,442.14,2026-04-09T13:06:58.938455,Kolkata
DEV-000004,Canon EOS R5,camera,0.1026,36.379,17.319,0.95,266.3,2026-04-09T13:06:58.938489,Kolkata
DEV-000005,Sony A7IV,camera,0.1346,30.169,21.177,0.93,326.03,2026-04-09T13:06:58.938520,Mumbai
DEV-000006,AirPods Pro,earbuds,0.0045,0.598,0.787,0.91,12.08,2026-04-09T13:06:58.938550,Delhi
DEV-000007,Dell XPS 13,laptop,0.2186,46.206,53.585,0.89,817.35,2026-04-09T13:06:58.938580,Kolkata
DEV-000008,Samsung Galaxy S22,smartphone,0.0388,12.775,4.397,0.84,68.41,2026-04-09T13:06:58.938608,Ahmedabad
DEV-000009,Google Pixel 7,smartphone,0.0264,12.42,3.667,0.86,56.71,2026-04-09T13:06:58.938699,Chennai
DEV-000010,Samsung Galaxy S22,smartphone,0.0427,11.109,5.117,0.93,79.43,2026-04-09T13:06:58.938731,Pune
DEV-000011,ThinkPad T480,laptop,0.283,57.667,37.695,0.92,582.98,2026-04-09T13:06:58.938828,Chennai
DEV-000012,iPad Pro 11,tablet,0.1662,20.404,39.394,0.91,601.09,2026-04-09T13:06:58.938886,Ahmedabad
DEV-000013,ThinkPad T500,laptop,0.2153,54.545,49.326,0.83,753.35,2026-04-09T13:06:58.938909,Bangalore
DEV-000014,Samsung Galaxy S22,smartphone,0.029,11.469,4.537,0.86,69.91,2026-04-09T13:06:58.938929,Ahmedabad
DEV-000015,Sony A7IV,camera,0.1547,33.378,21.621,0.96,333.93,2026-04-09T13:06:58.938949,Delhi
DEV-000016,ThinkPad T500,laptop,0.3327,55.439,60.479,0.84,927.7,2026-04-09T13:06:58.938968,Chennai
DEV-000017,AirPods Pro,earbuds,0.0069,0.613,0.798,0.88,12.39,2026-04-09T13:06:58.938987,Pune
DEV-000018,Samsung Galaxy Tab S7,tablet,0.0867,25.59,28.326,0.92,430.35,2026-04-09T13:06:58.939005,Chennai
DEV-000019,Sony WH-1000XM4,headphones,0.0115,4.696,1.052,0.89,16.52,2026-04-09T13:06:58.939025,Hyderabad
DEV-000020,MacBook Pro 13,laptop,0.4218,65.957,58.994,0.87,910.88,2026-04-09T13:06:58.939083,Bangalore
DEV-000021,ThinkPad T490,laptop,0.191,51.06,51.695,0.84,787.4,2026-04-09T13:06:58.939103,Ahmedabad
DEV-000022,Fitbit Charge 5,wearable,0.0019,0.344,0.205,0.83,3.19,2026-04-09T13:06:58.939121,Delhi
DEV-000023,Apple Watch Series 7,wearable,0.003,0.581,0.522,0.99,8.02,2026-04-09T13:06:58.939142,Kolkata
DEV-000024,Canon EOS R5,camera,0.1226,27.829,29.937,0.86,456.69,2026-04-09T13:06:58.939161,Mumbai
DEV-000025,Samsung Galaxy S22,smartphone,0.0412,14.817,4.748,0.91,73.84,2026-04-09T13:06:58.939179,Pune
DEV-000026,Samsung Galaxy S21,smartphone,0.0298,9.582,4.069,0.9,62.92,2026-04-09T13:06:58.939198,Mumbai
DEV-000027,iPad Pro 11,tablet,0.1552,28.144,42.903,0.88,653.14,2026-04-09T13:06:58.939216,Pune
DEV-000028,MacBook Pro 13,laptop,0.3559,71.811,57.222,0.84,880.4,2026-04-09T13:06:58.939235,Pune
DEV-000029,iPhone 14,smartphone,0.0428,13.981,3.766,0.94,59.2,2026-04-09T13:06:58.939252,Hyderabad
DEV-000030,Google Pixel 7,smartphone,0.0211,7.778,3.679,0.95,56.53,2026-04-09T13:06:58.939270,Delhi
DEV-000031,iPhone 13,smartphone,0.0372,13.359,3.003,0.9,47.41,2026-04-09T13:06:58.939289,Bangalore
DEV-000032,Dell XPS 13,laptop,0.2567,60.61,44.265,0.88,679.98,2026-04-09T13:06:58.939316,Pune
